ablation,setting,auc,optimal_threshold,eval_threshold,fnr_at_eval_threshold,fpr_at_eval_threshold,f1_at_eval_threshold,tpr_at_eval_threshold,threshold_error
neighbor_count,1,0.8724999999999999,1.2020335507574498,1.2,0.1,0.2,0.9448818897637795,0.9,0.30000000000000004
neighbor_count,3,0.903125,1.1784534934185769,1.2,0.25,0.2,0.8547008547008547,0.75,0.45
neighbor_count,5,0.9119375,1.173440986089059,1.2,0.2,0.2,0.886426592797784,0.8,0.4
neighbor_count,10,0.9069999999999999,1.150301893298467,1.2,0.3,0.2,0.8211143695014663,0.7,0.5
neighbor_count,20,0.92075,1.091408502943633,1.2,0.9975,0.0,0.004987531172069826,0.0025,0.9975
threshold,1.2,0.9119375,1.173440986089059,1.2,0.2,0.2,0.886426592797784,0.8,0.4
threshold,1.3,0.9119375,1.173440986089059,1.3,0.46875,0.05,0.6933115823817292,0.53125,0.51875
threshold,1.4,0.9119375,1.173440986089059,1.4,0.73375,0.0,0.42053307008884505,0.26625,0.73375
threshold,1.5,0.9119375,1.173440986089059,1.5,0.89625,0.0,0.18799546998867497,0.10375,0.89625
threshold,1.65,0.9119375,1.173440986089059,1.65,1.0,0.0,0.0,0.0,1.0
threshold,1.8,0.9119375,1.173440986089059,1.8,1.0,0.0,0.0,0.0,1.0
threshold,2.0,0.9119375,1.173440986089059,2.0,1.0,0.0,0.0,0.0,1.0
retriever_backbone,minilm,0.9119375,1.173440986089059,1.2,0.2,0.2,0.886426592797784,0.8,0.4
retriever_backbone,dpr,0.9946875000000001,1.0516690566710698,1.2,0.8125,0.0,0.3157894736842105,0.1875,0.8125
neighbor_method,mixed,0.9015,1.1416118522628258,1.2,0.4175,0.1,0.7350157728706624,0.5825,0.5175
neighbor_method,thematic_only,0.9119375,1.173440986089059,1.2,0.2,0.2,0.886426592797784,0.8,0.4
neighbor_method,synonym_only,0.8200000000000001,1.1446249868804783,1.2,0.785,0.05,0.35354573484069884,0.215,0.8350000000000001
neighbor_method,t5_mixed,0.9015,1.1416118522628258,1.2,0.4175,0.1,0.7350157728706624,0.5825,0.5175
